timestamp,diary_id,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,score
1583766988,3,6,4,4,6,6,6,6,5,35
1583942139,3,4,3,5,5,3,3,4,5,24
1584037075,3,4,3,4,5,4,3,3,2,20
1584104508,3,3,2,2,5,4,3,2,4,17
1584207741,3,4,3,3,5,4,4,2,5,22
1584288450,3,4,3,4,5,4,4,2,5,23
1584365857,3,4,3,4,5,4,4,4,5,25
1584400970,3,3,3,2,5,4,3,3,5,20
1584450618,3,2,3,4,5,4,3,2,5,20
1584707369,3,3,2,4,5,3,3,3,5,20
1584882968,3,3,2,4,5,4,4,3,5,22
1584961240,3,4,3,4,5,5,4,3,4,24
1585052607,3,4,3,4,5,4,3,3,5,23
1585141520,3,4,3,4,5,4,4,3,4,23
1585225535,3,4,3,4,5,4,3,3,5,23
1585488168,3,5,3,4,5,4,4,2,5,24
1585574524,3,4,2,4,5,4,3,3,5,22
1585745091,3,4,0,4,5,4,3,2,4,19
